卷	卷 🥙 🌮 🌯
方型	方型 🟥 🟧 🟨 🟩 🟦 🟪 🟫 ⬛️ ⬜️
颜色	颜色 🟥 🟧 🟨 🟩 🟦 🟪 🟫 ⬛️ ⬜️ 🔴 🟠 🟡 🟢 🔵 🟣 🟤 ⚫️ ⚪️ ❤️ 🧡 💛 💚 💙 💜 🤎 🖤 🤍
运动	运动 🏒 🏸 🏓 🏑 🏏 ⛳️ 🏹 ⚽️ 🏀 🏈 ⚾ 🥎️ 🎾 🏐 🏉 🎱 ⛸ 🎿 🎳 🥏 🥍 🛹 🤿 🪂 🛷 🥌
饮料	饮料 🍹 🧃 🍸 🍵 ☕️ 🥛 🍷 🥃 🍶 🥂 🍾 🍻 🍺 🧉
自然	自然 🔥 💧 🌬 ☀️ 🌤 ⛅️ 🌦 🌥 ☁️ 🌨 🌧 🌩 ⛈ ❄️ 💨 🌪 🌫 🌊 🧊
夜空	夜空 🌙 💫 ⭐️ 🌟 ✨ 🌛 🌜
武器	武器 🔫 🗡 ⚔️ 🔪 🛡 🪓 🚀
电器	电器 💡 📺 ☎️ 📟 📞 📠 📻 🕰 📡 🔦
科学	科学 🔬 🔭 ⚗️ ⚛️ 🧑🏻‍🔬 🧬 🧪 🧫 🩺
热饮	热饮 ☕️ 🍵
心型	心型 ❤️ 🧡 💛 💚 💙 💜 🤎 🖤 🤍
机械	机械 ⚙️ 🔩 ⛏ 🛠 ⚒ 🔨 🔧 ⛓ 🧰 🪒
数码	数码 ⌚️ 📱 💻 ⌨️ 🖥 🖨 🖱 📷 📹 💾 💽 💿 📀
电子	电子 ⌚️ 📱 💻 ⌨️ 🖥 🖨 🖱 📷 📹 💾 💽 💿 📀
天气	天气 ☀️ 🌤 ⛅️ 🌦 🌥 ☁️ 🌨 🌧 🌩 ⛈ ❄️ 💨 🌪 🌫 🌊
气象	气象 ☀️ 🌤 ⛅️ 🌦 🌥 ☁️ 🌨 🌧 🌩 ⛈ ❄️ 💨 🌪 🌫 🌊
寒冷	寒冷 ❄️ 🌨 ☃️ ⛄️ 🧊
有害	有害 ☢️ ☣️ 🦠
宗教	宗教 ✝️ ☪️ 🕉 ☸️ 🔯 🕎 ☯️ ☦️ 🛐 ⛪️ 🕌 🕍 🕋 ⛩ 🛕
精怪	精怪 🧙🏻 🧝🏻 🧛🏻 🧟 🧞 🧜🏻 🧚🏻 🦹🏻
亚裔	亚裔 🧓🏻 🧑🏻 🧒🏻 👶🏻
黑人	黑人 🧓🏿 🧑🏿 🧒🏿 👶🏿
白人	白人 🧓🏼 🧑🏼 👱🏼 🧒🏼 👶🏼
游乐园	游乐园 🏟 🎡 🎢 🎠
日本菜	日本菜 🍥 🍣 🍱 🍙 🍘
多媒体	多媒体 📽 🎥 📹 📷 🎙 📡
动物脸	动物脸 🐶 🐱 🐭 🐹 🐰 🦊 🐻 🐼 🐨 🐯 🦁 🐮 🐷 🐽 🐸 🐵
大自然	大自然 🔥 💧 🌬 ☀️ 🌤 ⛅️ 🌦 🌥 ☁️ 🌨 🌧 🌩 ⛈ ❄️ 💨 🌪 🌫 🌊 🧊
飞行器	飞行器 🛩 ✈️ 🚁 🚀 🛸
做运动	做运动 ⛷ 🏂🏻 🏋🏻 🤺 🤼🏻 🤸🏻 ⛹🏻 🤾🏻 🏌🏻 🏄🏻 🏊🏻 🤽🏻 🚣🏻 🏇🏻 🚴🏻 🚵🏻 🧗🏻 🤹🏻
穆斯林	穆斯林 👳🏽
亚裔女	亚裔女 👵🏻 👩🏻 👧🏻
亚裔男	亚裔男 👴🏻 👨🏻 👦🏻
黑人女	黑人女 👵🏿 👩🏿 👧🏿
黑人男	黑人男 👴🏿 👨🏿 👦🏿
东亚人	东亚人 🧓🏻 🧑🏻 🧒🏻 👶🏻
拉丁裔	拉丁裔 🧓🏽 🧑🏽 🧒🏽 👶🏽
拉美人	拉美人 🧓🏽 🧑🏽 🧒🏽 👶🏽
拉美裔	拉美裔 🧓🏽 🧑🏽 🧒🏽 👶🏽
黄种人	黄种人 🧓🏻 🧑🏻 🧒🏻 👶🏻
白种人	白种人 🧓🏼 🧑🏼 👱🏼 🧒🏼 👶🏼
白人女	白人女 👵🏼 👩🏼 👱🏼‍♀️ 👧🏼
白人男	白人男 👴🏼 👨🏼 👱🏼‍♂️ 👦🏼
精怪女	精怪女 🧙🏻‍♀️ 🧝🏻‍♀️ 🧛🏻‍♀️ 🧟‍♀️ 🧞‍♀️ 🧜🏻‍♀️ 🧚🏻‍♀️ 🦹🏻‍♀️
精怪男	精怪男 🧙🏻‍♂️ 🧝🏻‍♂️ 🧛🏻‍♂️ 🧟‍♂️ 🧞‍♂️ 🧜🏻‍♂️ 🧚🏻‍♂️ 🦹🏻‍♂️
中华传统	中华传统 🧧 🥮 🧨 🧮
日式料理	日式料理 🍥 🍣 🍱 🍙 🍘
做运动女	做运动女 ⛷ 🏂🏻 🏋🏻‍♀️ 🤺 🤼🏻‍♀️ 🤸🏻‍♀️ ⛹🏻‍♀️ 🤾🏻‍♀️ 🏌🏻‍♀️ 🏄🏻‍♀️ 🏊🏻‍♀️ 🤽🏻‍♀️ 🚣🏻‍♀️ 🏇🏻 🚴🏻‍♀️ 🚵🏻‍♀️ 🧗🏻‍♀️ 🤹🏻‍♀️
做运动男	做运动男 ⛷ 🏂🏻 🏋🏻‍♂️ 🤺 🤼🏻‍♂️ 🤸🏻‍♂️ ⛹🏻‍♂️ 🤾🏻‍♂️ 🏌🏻‍♂️ 🏄🏻‍♂️ 🏊🏻‍♂️ 🤽🏻‍♂️ 🚣🏻‍♂️ 🏇🏻 🚴🏻‍♂️ 🚵🏻‍♂️ 🧗🏻‍♂️ 🤹🏻‍♂️
阿拉伯人	阿拉伯人 👳🏽
东亚人女	东亚人女 👵🏻 👩🏻 👧🏻
东亚人男	东亚人男 👴🏻 👨🏻 👦🏻
拉丁裔女	拉丁裔女 👵🏽 👩🏽 👧🏽
拉丁裔男	拉丁裔男 👴🏽 👨🏽 👦🏽
拉美人女	拉美人女 👵🏽 👩🏽 👧🏽
拉美人男	拉美人男 👴🏽 👨🏽 👦🏽
拉美裔女	拉美裔女 👵🏽 👩🏽 👧🏽
拉美裔男	拉美裔男 👴🏽 👨🏽 👦🏽
黄种人女	黄种人女 👵🏻 👩🏻 👧🏻
黄种人男	黄种人男 👴🏻 👨🏻 👦🏻
棕色人种	棕色人种 🧓🏽 🧑🏽 🧒🏽 👶🏽
白种人女	白种人女 👵🏼 👩🏼 👱🏼‍♀️ 👧🏼
白种人男	白种人男 👴🏼 👨🏼 👱🏼‍♂️ 👦🏼
穆斯林女	穆斯林女 👳🏽‍♀️ 🧕🏽
穆斯林男	穆斯林男 👳🏽‍♂️ 🧔🏽
棕色人种女	棕色人种女 👵🏽 👩🏽 👧🏽
棕色人种男	棕色人种男 👴🏽 👨🏽 👦🏽
阿拉伯人女	阿拉伯人女 👳🏽‍♀️ 🧕🏽
阿拉伯人男	阿拉伯人男 👳🏽‍♂️ 🧔🏽

